record_id,bagobo_text,english_text,tagalog_text,cebuano_text
SENT-0016,"Ni duma gabatá, igóddò migtákkás kani amé dan, Sandawà, mga Matigsalug, Ubù, Attò, asta sikita gó mga Tagabawà.","These children who stayed with this father of theirs, Sandawa, they were the Matigsalugs, Obo Manobos, Guiangans, and we Tagabawas.","Ang mga anak na nanatili sa kanilang ama na si Sandawa, sila ang mga Matigsalug, Obo Manobo, Guiangan, at kaming mga Tagabawa.","Kining mga anak nga nagpabilin sa ilang amahan nga si Sandawa, sila mao ang mga Matigsalug, Obo Manobo, Guiangan, ug kami nga mga Tagabawa."
SENT-0017,"Takud taddó dán si Sandawà, mibaluy pabungan.","From that time on Sandawa, he was transformed into a mountain.","Mula noon, si Sandawa ay naging isang bundok.","Gikan niadtong panahona, si Sandawa nahimong usa ka bukid."
SENT-0018,"Ás Matutum, ás Mibuló, mibaluy pagsik pabungan.","Matutum and Mibulo, they were also transformed into mountains.","Sina Matutum at Mibulo, sila rin ay naging mga bundok.","Si Matutum ug Mibulo, nahimo usab silang mga bukid."
SENT-0019,"Yan pagbánnal kani mga Bagóbô, ás Sandawà, apù ta.","That belief of these Bagobos is, as for Sandawa, he is our grandfather.","Ang paniniwalang iyon ng mga Bagobo ay, tungkol kay Sandawa, siya ang ating lolo.","Kana nga pagtuo sa mga Bagobo, bahin kay Sandawa, siya ang among apohan."
SENT-0020,"Purisu atin ágnadan é Bagóbô Apù Sandawà, su apù ta.","Therefore when the Bagobos call him Grandfather Sandawa, it is because he is our grandfather.","Kaya kapag tinatawag siya ng mga Bagobo na Lolo Sandawa, ito ay dahil siya ang ating lolo.","Busa kung tawgon siya sa mga Bagobo nga Apohang Sandawa, tungod kay siya ang among apohan."
SENT-0021,"Purisu atin ágnadan ki Apù Sandawà, su apù ta yan.","Therefore when we call him Grandfather Sandawa, it is because that one is our grandfather.","Kaya kapag tinatawag natin siyang Lolo Sandawa, ito ay dahil siya ang ating lolo.","Busa kung tawgon namo siya nga Apohang Sandawa, tungod kay siya ang among apohan."
SENT-0022,Taddó dád gó.,There only for sure.,Hanggang diyan na lang talaga.,Kutob ra dinhi sa tinuod lang.
SENT-0023,Ás Lumabát,Lumabat,Lumabat,Lumabat
SENT-0024,"Tô midugé dán timpu, mantu pa ni banuwa, duwán manubù góddò nit banuwa ángngadanak Lumabát.","A long time ago now, when this earth was still new, there was a person living here on earth named Lumabat.","Noong unang panahon, nang bago pa ang daigdig na ito, may isang taong nanirahan dito sa mundo na nagngangalang Lumabat.","Kaniadto, sa dihang bag-o pa kining kalibutan, adunay usa ka tawo nga nagpuyo dinhi sa yuta nga ginganlag Lumabat."
SENT-0025,"Ás Lumabát, ágpanaké dutut Manama.","Lumabat, he believed in God.","Si Lumabat, naniwala siya sa Diyos.","Si Lumabat, mituo siya sa Diyos."
SENT-0026,Na duwán batà din ángngadanak Tagaliyung.,And he had a child named Tagaliyung.,At mayroon siyang anak na nagngangalang Tagaliyung.,Ug aduna siyay anak nga ginganlag Tagaliyung.
SENT-0027,"Na timpu katô, ás Lumabát, mibaluy su áskandin, ágpanaké.","Now at that time, Lumabat, he was transformed because he, he was a believer.","Ngayon noong panahong iyon, si Lumabat ay nag-ibang anyo dahil siya ay isang mananampalataya.","Karon niadtong panahona, si Lumabat, nausab ang iyang porma tungod kay siya usa ka magtutuo."
SENT-0028,Ágsadun dutun datas ta langit.,He kept going up there to heaven.,Patuloy siyang umakyat doon sa langit.,Nagpadayon siya sa pagsaka didto sa langit.
SENT-0029,"Tô ándà panaké, duwán mibaluy manuk, duwán mibaluy lutung, duwán mibaluy batu.","As for those unbelievers, some were transformed into birds, some were transformed into monkeys, some were transformed into rocks.","Tungkol sa mga hindi naniwala, ang ilan ay naging mga ibon, ang ilan ay naging mga unggoy, ang ilan ay naging mga bato.","Bahin sa mga wala mituo, ang uban nahimong mga langgam, ang uban nahimong mga unggoy, ang uban nahimong mga bato."
SENT-0030,"Na, duwán batu dutun duwán bónnóng állát kani prubinsya ák Bukidnon asta Cotabato.",Now there is a rock that has a human resemblance there between these provinces of Bukidnon and Cotabato.,Ngayon may isang bato na may wangis ng tao roon sa pagitan ng mga probinsya ng Bukidnon at Cotabato.,Karon adunay usa ka bato nga pormag tawo didto sa taliwala niining mga probinsya sa Bukidnon ug Cotabato.
SENT-0031,Na duwán batu kitanán nu ágtaddug ka nanga.,And there is a rock you can see that is covered with thorny vines.,At may isang bato kang makikita na nababalutan ng mga matinik na baging.,Ug adunay usa ka bato nga imong makita nga gitabonan sa mga tunokon nga bagon.
SENT-0032,Kabánnalan katô duwán mibaluy batu.,That is the truth that there was something transformed into a rock.,Iyan ang katotohanan na may isang bagay na naging bato.,Kana ang kamatuoran nga adunay usa ka butang nga nahimong bato.
SENT-0033,"Ágbabawù ák kabir din, na ágtaddug ka daun ka nanga.","He carries his backpack, and his head is covered with thorny vine leaves.","Dala niya ang kanyang bitbitan, at ang kanyang ulo ay nababalutan ng mga dahon ng matinik na baging.","Dala niya ang iyang bag, ug ang iyang ulo gitabonan sa mga dahon sa tunokon nga bagon."
SENT-0034,"Tô gó manubù tô, pero ibaluy batu tô timpu katô ibaluy dán si Lumabát.","That is what was a person, but he was transformed into a rock at the time Lumabat was transformed.","Iyon ay dating isang tao, ngunit siya ay naging bato noong panahong nag-ibang anyo si Lumabat.","Kana ang kanhi usa ka tawo, apan nahimo siyang bato sa panahon nga nausab ang porma ni Lumabat."
SENT-0035,"Na, duwán sábbad bayi; migóméng áskandin ka báttám.",Now there was a certain woman; she cooked millet.,Ngayon may isang babae; nagluto siya ng dawa.,Karon adunay usa ka babaye; nagluto siyag dawa.
SENT-0036,"Na kumu ménit pô ágkan dán, tô gabatá, ágpagawé.","And because it was still too hot to eat then, the children, they were snatching it away from each other.","At dahil napakainit pa nitong kainin noon, ang mga bata, nag-aagawan sila rito.","Ug tungod kay init pa kaayo kining kan-on kaniadto, ang mga bata, nag-inagaway sila niini."
SENT-0037,Migbunal din ka kaludà é ulu.,She beat them on the head with a ladle.,Hinampas niya sila sa ulo gamit ang sandok.,Gibunalan niya sila sa ulo gamit ang luwag.
SENT-0038,"Tô gabatá tô, ibaluy lutung.","As for those children, they were transformed into monkeys.","Tungkol sa mga batang iyon, sila ay naging mga unggoy.","Bahin niadtong mga bata, nahimo silang mga unggoy."
SENT-0039,Tô gó madita lutung áknganni.,That is why there are many monkeys nowadays.,Kaya naman maraming unggoy sa kasalukuyan.,Mao kana kung ngano nga daghang mga unggoy karon.
SENT-0040,"Na tô iné, ángngadanan ki Puné, ibaluy manuk.","And the mother, named Green Pigeon, she was transformed into a bird.","At ang ina, na nagngangalang Punay, siya ay naging isang ibon.","Ug ang inahan, nga ginganlag Punay, nahimo siyang usa ka langgam."
SENT-0041,"Dinágán nu tô manuk tô ka ágkagi, mà din, “Mm, mm, batà ku, milapa, báttám.”","You can hear that bird when it speaks, saying, “Mm, mm, my child, was burned, by millet.”","Maririnig mo ang ibong iyon kapag nagsasalita, na nagsasabing, ""Mm, mm, anak ko, napaso, ng dawa.""","Madungog nimo kanang langgama inig tingog niini, nga nagaingon, Mm, mm, ang akong anak, napaso, sa dawa."
SENT-0042,Su-ù milapa man gó tô gabatá ka báttám.,Because naturally the children were burned by millet.,Dahil natural na napaso ng dawa ang mga bata.,Tungod kay natural nga napaso ang mga bata sa dawa.
SENT-0043,"Tô manuk tô, ángngadanak Puné.","As for that bird, it is named Green Pigeon.","Tungkol sa ibong iyon, pinangalanan itong Punay.","Bahin nianang langgama, ginganlan kinig Punay."
SENT-0044,"Tô gó ágkéduwan din tô gabatá din milapa ka báttám, ibaluy lutung.","That is why she pities her children burned by millet, transformed into monkeys.","Kaya naaawa siya sa kanyang mga anak na napaso ng dawa, na naging mga unggoy.","Mao nga naluoy siya sa iyang mga anak nga napaso sa dawa, nga nahimong mga unggoy."
SENT-0045,"Agad áknganni dinágán nu tô puné ágkagi, mà din, “Mm, mm, batà ku, milapa ka báttám.”","Even nowadays you can hear the green pigeon speaking, saying, “Mm, mm, my child, was burned by millet.”","Kahit ngayon ay maririnig mo ang punay na nagsasalita, na nagsasabing, ""Mm, mm, anak ko, napaso ng dawa.""","Bisan karon madungog nimo ang punay nga nagatingog, nga nagaingon, Mm, mm, ang akong anak, napaso sa dawa."
SENT-0046,"Su kagi man ka Tagabawà, tô karkulu ku, Tagabawà.","For naturally it is the speech of the Tagabawas; in my estimation, it is Tagabawa.","Sapagkat natural na ito ay salita ng mga Tagabawa; sa aking palagay, ito ay Tagabawa.","Kay natural nga sinultihan kini sa mga Tagabawa; sa akong pangagpas, Tagabawa kini."
SENT-0047,"Na, duwán pagsik mga manuk Attò é igpantikudan, su manan ka dinágán nu kumagi, mà din, “ipittóró”; taô é ngadan katô manuk.","Now there are also birds whose origin is Guiangan, because why else would you hear them speak, saying, “ipittóró”; koel is the name of the bird.","Ngayon mayroon ding mga ibon na ang pinagmulan ay Guiangan, dahil bakit mo pa sila maririnig na nagsasalita, na nagsasabing, ""ipittóró""; koel ang pangalan ng ibon.","Karon aduna usab mga langgam kansang gigikanan kay Guiangan, tungod kay ngano man nga madungog nimo silang nagatingog, nga nagaingon, ipittóró; koel ang ngalan sa langgam."
SENT-0048,"Karkulu ku, Attò, ibaluyan pagsik mga manuk tô timpu tô.","In my estimation, as for the Guiangan people, they also were transformed into birds at that time.","Sa aking palagay, tungkol sa mga taong Guiangan, sila rin ay naging mga ibon noong panahong iyon.","Sa akong pangagpas, bahin sa mga tawo nga Guiangan, nahimo usab silang mga langgam niadtong panahona."
SENT-0049,"Na duwán pagsik mga Ubù mibaluy manuk, su ágdinágán nu tô kalinsawi ágkagi, mà din, “Busó siyak, busó siyak.”","And there were also Obo Manobo people who were transformed into birds, because the monarch bird can be heard speaking, saying, “I am an evil spirit, I am an evil spirit.”","At mayroon ding mga Obo Manobo na naging mga ibon, dahil ang monarch bird ay maririnig na nagsasalita, na nagsasabing, ""Ako ay masamang espiritu, ako ay masamang espiritu.""","Ug aduna usay mga Obo Manobo nga nahimong mga langgam, tungod kay ang monarch bird madungog nga nagatingog, nga nagaingon, Ako usa ka daotang espiritu, ako usa ka daotang espiritu."
SENT-0050,Ubù tô kagi din.,Obo Manobo are its words.,Obo Manobo ang mga salita nito.,Mga pulong kini sa Obo Manobo.
SENT-0051,"Agad tô kalyawa, mga magdakál manuk, kalyawa tô mà din, “Kó, kó, kungkéków.”","Even male hornbills, which are large birds, the male hornbill is the one that says, “Kó, kó, kungkéków.”","Kahit ang mga lalaking kalaw, na malalaking ibon, ang lalaking kalaw ang siyang nagsasabing, ""Kó, kó, kungkéków.""","Bisan ang mga laking kalaw, nga dagkong mga langgam, ang laking kalaw mao ang nagaingon, Kó, kó, kungkéków."
SENT-0052,"Tô gó duwán mibaluy manuk, na duwán mibaluy batu tô timpu katô mibaluy ás Lumabát.","That is when some were transformed into birds, and some were transformed into rocks at the time when Lumabat was transformed.","Iyon ang nangyari noong ang ilan ay naging mga ibon, at ang ilan ay naging mga bato noong panahong nag-ibang anyo si Lumabat.","Kana ang nahitabo dihang ang uban nahimong mga langgam, ug ang uban nahimong mga bato sa panahon nga nausab ang porma ni Lumabat."
SENT-0053,Nanda si Warì?,Now where was Wari?,Ngayon nasaan si Wari?,Karon asa man si Wari?
SENT-0054,"Ás Warì, migtákkás ki Lumabát dutun datas ta langit.","As for Wari, he had accompanied Lumabat up there to heaven.","Tungkol kay Wari, sumama siya kay Lumabat doon sa langit.","Bahin kay Wari, mikuyog siya kang Lumabat didto sa langit."
SENT-0055,"Na, ándasu migdunggù dán ás Warì dutun datas, ágdaruwang dinit siyung, ágsállágán din madita saging milutiuan.","Now when Wari arrived there up above, he looked down here below, seeing many bananas that had ripened.","Ngayon nang makarating si Wari sa itaas, tumingin siya sa ibaba, at nakita ang maraming saging na hinog na.","Karon dihang nakaabot si Wari sa itaas, milantaw siya sa ubos, ug nakita niya ang daghang saging nga nangahinog na."
SENT-0056,"Na mà i Warì, “Muliyó kanak, muliyó tut banuwa.”","Then Wari said, “I for myself am surely going home, I am surely going home to the earth.”","Pagkatapos ay sinabi ni Wari, ""Ako para sa sarili ko ay siguradong uuwi na, siguradong uuwi na ako sa lupa.""","Unya miingon si Wari, Ako para sa akong kaugalingon kay siguradong mopauli na, siguradong mopauli na ako sa yuta."
SENT-0057,"“Na atin,” mà i Lumabát, “mulì ka, yaka nánman ágpanannó nit kawangngawangan.”","“Now if,” said Lumabat, “you go home, do not be responsible for eating your trail food here in the sky.”","Ngayon kung, sabi ni Lumabat, ""uuwi ka, huwag kang magkakamaling kainin ang iyong baon dito sa langit.""","Karon kung, matod ni Lumabat, mopauli ka, ayaw gyud kan-a ang imong bawon dinhi sa langit."
SENT-0058,Kali ka panánnó ka ágdunggù kad diyan.,Do not eat the trail food until you have already arrived there.,Huwag mong kainin ang baon hanggang sa makarating ka na roon.,Ayaw kan-a ang bawon hangtod nga makaabot ka na didto.
SENT-0059,"Su atin pabutángngé yan asu, na sugbanan dé sikuna.","Because if those dogs fight each other, then we will cease doing it for you.","Dahil kung mag-aaway ang mga asong iyon, ititigil na namin ang pagtulong sa iyo.","Tungod kay kung mag-away nang mga iroa, unya moundang kami sa pagtabang kanimo paubos."
SENT-0060,"Na kumu si Warì, ándà dán ikapáttud.","Then as for Wari, he could not control himself.","Pagkatapos tungkol kay Wari, hindi niya mapigilan ang sarili.","Unya bahin kay Wari, wala niya mapugngi ang iyang kaugalingon."
SENT-0061,"Su ágballusán, igpanánnó nit kawangngawangan.","Because he was hungry, he ate the trail food here in the sky.","Dahil siya ay gutom, kinain niya ang baon dito sa langit.","Tungod kay gigutom siya, gikaon niya ang bawon dinhi sa langit."
SENT-0062,Igsugbanan i Lumabát.,Lumabat ceased.,Huminto si Lumabat.,Miundang si Lumabat.
SENT-0063,"Na, ándà man pa dini, su tô man pat kawangngawangan, mikasagpat dutun kayu balití.","Now before he had yet got here, because naturally he was still in the sky, he got snagged in a balití tree.","Ngayon bago pa man siya makarating dito, dahil natural na nasa langit pa siya, sumabit siya sa isang puno ng balete.","Karon sa wala pa siya makaabot dinhi, kay natural nga didto pa siya sa langit, nasangit siya sa usa ka punoan sa balete."
SENT-0064,"Na tô gó tô lumu i Warì, gabéyù gulláò ágpabatangtabang.","Then what Wari did, he kept on shouting for help.","Pagkatapos ang ginawa ni Wari, patuloy siyang sumigaw humihingi ng tulong.","Unya ang gibuhat ni Wari, nagpadayon siyag siyagit aron mangayog tabang."
SENT-0065,Ibaluy dán manuk.,He was then transformed into a bird.,Pagkatapos siya ay naging isang ibon.,Unya nahimo siyang usa ka langgam.
SENT-0066,Ágkabulbulan dán.,He then became feathered.,Pagkatapos siya ay nagkaroon ng mga balahibo.,Gituboan siya og mga balhibo.
SENT-0067,Tô gó manuk kulagu ás Warì.,"That is why Wari is a bird, the owl.","Kaya si Wari ay isang ibon, ang kuwago.","Mao nga si Wari usa ka langgam, ang ngiwngiw."
SENT-0068,"Atin duwán ágdinágán yu manuk ágkagi, “Kulagu,” ás Warì yan; miguli dutun banuwa su mikakitak malutù saging.","If you hear a bird saying, “Kulagu,” that is Wari; he returned to the earth because he saw ripe bananas.","Kung makarinig ka ng ibong nagsasabing, ""Kulagu,"" iyon ay si Wari; bumalik siya sa lupa dahil nakakita siya ng mga hinog na saging.","Kung makadungog kag langgam nga nagaingon, Kulagu, kana mao si Wari; mibalik siya sa yuta kay nakakita siyag mga hinog nga saging."
SENT-0069,"Timpu katô mibaluy ás Lumabát, madita mibaluy.","At the time Lumabat was transformed, many were transformed.","Noong panahong nag-ibang anyo si Lumabat, marami ang nag-ibang anyo.","Sa panahon nga nausab ang porma ni Lumabat, daghan ang nausab."
SENT-0070,Duwán mibaluy kalyawa.,Some were transformed into male hornbills.,Ang ilan ay naging mga lalaking kalaw.,Ang uban nahimong mga laking kalaw.
SENT-0071,Duwán mibaluy puné.,Some were transformed into green pigeons.,Ang ilan ay naging mga punay.,Ang uban nahimong mga punay.
SENT-0072,Duwán mibaluy mangguwapuy.,Some were transformed into pitta birds.,Ang ilan ay naging mga pitta bird.,Ang uban nahimong mga langgam nga pitta.
SENT-0073,Duwán ibaluy mga batu.,Some were transformed into rocks.,Ang ilan ay naging mga bato.,Ang uban nahimong mga bato.
SENT-0074,"Na, tô mangguwapuy, manubù ágkabógókan, ágkarukungán.","Now, as for the pitta bird, he was a person who was sick, afflicted by malaria chills.","Ngayon, tungkol sa pitta bird, siya ay isang tao na maysakit, pinapanginig ng malarya.","Karon, bahin sa langgam nga pitta, usa siya ka tawo nga adunay sakit, gipangurog tungod sa malarya."
SENT-0075,Ágpamuyù kapuy.,He kept asking for fire.,Patuloy siyang humihingi ng apoy.,Sige siyag pangayog kalayo.
SENT-0076,"Tô, sigi ágtawar, mà din, “Bággéya kapuy!”","As for that one, he kept calling, saying, “Give me fire!”","Tungkol sa kanya, patuloy siyang tumatawag, nagsasabing, ""Bigyan niyo ako ng apoy!""","Bahin kaniya, nagpadayon siya sa pagtawag, nga nagaingon, Taga-i kog kalayo!"
SENT-0077,"Na gabéyù ágtawar, mà din, “Bággéya kapuy!”","And he kept on calling, saying, “Give me fire!”","At patuloy siyang tumatawag, nagsasabing, ""Bigyan niyo ako ng apoy!""","Ug nagpadayon siya sa pagtawag, nga nagaingon, Taga-i kog kalayo!"
SENT-0078,Ágkabulbulan dán.,He then became feathered.,Pagkatapos siya ay tinubuan ng balahibo.,Unya gituboan siyag mga balhibo.
SENT-0079,Tô gó ibaluy mangguwapuy.,That is why he was transformed into a pitta bird.,Kaya siya naging isang pitta bird.,Mao kana ngano nga nahimo siyang langgam nga pitta.
SENT-0080,"Asta áknganni duwán manuk dinágánnù, tô ágkagi, “Mangguwapuy”; manubù yan.","And now there is a bird that is heard, the one that says, “Mangguwapuy”; that was a person.","At ngayon may maririnig na ibon, ang nagsasabing, ""Mangguwapuy""; iyon ay isang tao dati.","Ug karon adunay usa ka langgam nga madungog, ang nagaingon, Mangguwapuy; usa siya ka tawo kaniadto."
SENT-0081,"Timpu katô ibaluy ás Lumabát, ibaluy áskandin mangguwapuy.","At the time Lumabat was transformed, Mangguwapuy was transformed into a pitta bird.","Noong panahong nag-ibang anyo si Lumabat, si Mangguwapuy ay naging isang pitta bird.","Sa panahon nga nausab si Lumabat, si Mangguwapuy nahimong usa ka langgam nga pitta."
SENT-0082,"Ágpamuyù kapuy su kakalyag din minadang, su ágkagánnawan, ágkarukungán.","He was asking for fire because he wanted to warm himself, because he was cold, he was afflicted by malaria chills.","Humihingi siya ng apoy dahil gusto niyang mainitan ang sarili, dahil siya ay giniginaw, pinapanginig siya ng malarya.","Nangayo siyag kalayo tungod kay gusto niyang mainitan ang iyang kaugalingon, tungod kay gitugnaw siya, gipangurog siya tungod sa malarya."
SENT-0083,Duwán pa duma ibaluy manuk mga manubù tô; tô gó saguksuk.,There were yet other people transformed into birds; that is who are coucal birds.,Mayroon pang ibang mga tao na naging mga ibon; sila ang mga coucal bird.,Aduna pay laing mga tawo nga nahimong mga langgam; kana mao ang mga langgam nga coucal.
SENT-0084,"Ágsaguksuk su mà din, “Suksuk kó, palaguy kó,” ó “állás kó,” su imáddangan.","It is a coucal bird because it says, “You insert yourself, you run,” or “you hide,” because it was afraid.","Ito ay coucal bird dahil sinasabi nitong, ""Sumiksik ka, tumakbo ka,"" o ""magtago ka,"" dahil siya ay natakot.","Usa kini ka langgam nga coucal tungod kay nagaingon kini, I-suksok ang imong kaugalingon, dagan ka, o tago ka, tungod kay nahadlok siya."
SENT-0085,Duwán basi imáddangan dan timpu katô.,Perhaps some of them were afraid at that time.,Marahil ang ilan sa kanila ay natakot noong panahong iyon.,Tingali ang uban kanila gipanghadlok niadtong panahona.
SENT-0086,"Na tô bayaku pagsik, tô mà din, “Kédu din, kédu din, kédu din”; mga Tagabawà.","And as for the flycatcher also, it is the one that says, “Pity, pity, pity”; they are Tagabawas.","At tungkol din sa flycatcher, ito ang nagsasabing, ""Awa, awa, awa""; sila ay mga Tagabawa.","Ug bahin usab sa langgam nga flycatcher, mao kini ang nagaingon, Kaluoy, kaluoy, kaluoy; mga Tagabawa sila."
SENT-0087,Sunnud méduwédù.,They are especially merciful.,Sila ay sadyang maawain.,Sila kay labi nang maluluy-on.
SENT-0088,"Purisu yan mga Tagabawà, ágkéduwan, sunnud méduwédù.","Therefore as for the Tagabawas, they feel pity, they are very merciful.","Kaya naman tungkol sa mga Tagabawa, sila ay naaawa, sila ay napaka-maawain.","Busa bahin sa mga Tagabawa, mobati silag kaluoy, maluluy-on kaayo sila."
SENT-0089,Tô tigkanayan ka lakkáp.,The origin of the solar eclipse,Ang pinagmulan ng solar eclipse,Ang gigikanan sa eklipse sa adlaw
SENT-0090,Tô tigkanayan ka lákkáp su migpakitaé tô bulan asta tô álló.,The origin of the solar eclipse was because the moon and the sun met each other.,Ang pinagmulan ng solar eclipse ay dahil nagtagpo ang buwan at ang araw.,Ang gigikanan sa eklipse sa adlaw kay tungod nagtagbo ang bulan ug ang adlaw.
SENT-0091,"Ni gulitán ni, gulitán katô mga tapé manubù sayyan.","This story, the old people long ago told it.","Ang kuwentong ito, isinalaysay ng mga matatanda noon pang unang panahon.","Kining istoryaha, gisaysay kini sa mga tigulang kaniadto."
SENT-0092,"Na migdinág katô innà ku, na migulit din kanak.","And my mother heard it, and she told it to me.","At narinig ito ng aking ina, at isinalaysay niya sa akin.","Ug nadunggan kini sa akong inahan, ug iyang gisaysay kanako."
SENT-0093,Su tô gó kun tô tigkanayan ka lákkáp su migpakitaé tô bulan asta tô álló.,For the reason for the origin of the solar eclipse was because the moon and the sun met each other.,Sapagkat ang dahilan ng pinagmulan ng solar eclipse ay dahil nagtagpo ang buwan at ang araw.,Kay ang rason sa gigikanan sa eklipse sa adlaw kay nagtagbo ang bulan ug ang adlaw.
SENT-0094,"Sapulù lima ámmé a dád pa, midinágán ku tô gulitán katô innà ku.","I was only fifteen years old, I happened to hear my mother’s story.",Labinlimang taong gulang lang ako nang marinig ko ang kuwento ng aking ina.,"Kinse anyos pa lang ako, nadunggan nako ang istorya sa akong inahan."
SENT-0095,"Sábbad álló, ágpantóngkóngké tô mga tugál ka ándin é migtigkanayan katô ángngadanan lákkáp.","One day, the old people were conversing with each other about what began what is called the solar eclipse.","Isang araw, nag-uusap ang mga matatanda tungkol sa kung ano ang naging simula ng tinatawag na solar eclipse.","Usa ka adlaw, nag-estoryahay ang mga tigulang bahin sa kung unsa ang nagsugod sa ginatawag nga eklipse sa adlaw."
SENT-0096,"Di dán ágkéyap é biyaán miglabé, tô kun bulan asta tô álló talasawa.","The years that have passed cannot be counted, the moon and the sun, they were spouses.","Hindi na mabilang ang mga taong lumipas, ang buwan at ang araw, sila ay mag-asawa.","Dili na maihap ang mga tuig nga milabay, ang bulan ug ang adlaw, sila managtiayon."
SENT-0097,"Ágpanigawaé dan tuu, su atin ka ágpatawaré dan, “Ó Bulan ku,” “Ó Álló ku,” di dan kun ágpadíayé; agad ánda dan ágpatákkássé dan ù.","They loved each other very much, because whenever they called to each other, “Oh my Moon,” “Oh my Sun,” they would not separate from each other; wherever they went they surely accompanied each other.","Sobra nilang mahal ang isa't isa, dahil sa tuwing tinatawag nila ang isa't isa na, ""Oh Buwan ko,"" ""Oh Araw ko,"" hindi sila naghihiwalay; saanman sila magpunta ay siguradong magkasama sila.","Gimahal pag-ayo nila ang usag usa, tungod kay inig tawag nila sa usag usa, Oh Bulan ko, Oh Adlaw ko, dili sila magbulag sa usag usa; bisan asa sila moadto siguradong magkuyog sila."
SENT-0098,Midugé dan taladuma.,For a long time they had been husband and wife.,Sa mahabang panahon sila ay naging mag-asawa.,Sa taas nga panahon nahimo silang magtiayon.
SENT-0099,"Atin ágpanó ka dukilám tô álló, ágtákkássù pagsik tô bulan.","When the sun would travel at night, the moon would also certainly accompany him.","Kapag naglalakbay ang araw sa gabi, tiyak na sasamahan din siya ng buwan.","Kung magbiyahe ang adlaw inig ka gabii, siguradong mokuyog usab kaniya ang bulan."
SENT-0100,"Bayi tô bulan, mama tô álló.","The moon was female, the sun was male.","Ang buwan ay babae, ang araw ay lalaki.","Ang bulan usa ka babaye, ang adlaw usa ka lalaki."
